asset_id,date,cpu_mean,ram_mean,disk_usage,logins,failed_logins,tickets_opened,network_mb,incident
1,2025-01-01,39.96714153011233,42.92603548243223,82.95377076201385,6,0,1,804.6059712816051,0
1,2025-01-02,30.305256140650478,53.13840065378947,60.73164614375075,8,0,0,406.85404928594863,0
1,2025-01-03,55.29517084482778,33.863897443212416,55.933123965851856,13,0,0,72.07586878475212,1
1,2025-01-04,42.28211560639855,50.63547027518508,57.9872262016239,12,0,0,441.66125004134466,1
1,2025-01-05,32.705495461680435,50.84023369884185,44.69761772154716,10,0,2,718.3984528715342,0
1,2025-01-06,42.38466579995411,47.57052421784956,67.68703435223519,9,1,0,439.77926088214224,0
1,2025-01-07,38.24083969394795,39.22376579375525,56.461559993880826,12,1,0,622.3352577681736,0
1,2025-01-08,38.31263431403564,59.63317690683539,60.4165152430942,8,1,1,462.86820466723657,0
1,2025-01-09,44.72963533755787,56.933931958439125,99.90868505766947,10,0,0,567.636250398664,0
1,2025-01-10,35.870470682381715,40.51488974301199,71.83521553071004,15,0,1,102.48621707982142,0
1,2025-01-11,26.915063971068122,37.47364434623195,88.30804235404148,13,1,1,565.750221931937,0
1,2025-01-12,32.433698173074454,39.48261413800858,95.47467240279111,14,0,0,441.609465834876,0
1,2025-01-13,31.572854834732304,32.96584096167572,66.77428576667981,10,0,2,580.8101713629077,0
1,2025-01-14,24.274681655643423,30.111207308952142,72.04695365099333,10,0,1,413.47814389039735,0
1,2025-01-15,38.39820964186644,44.8892977508314,85.34593677412808,13,1,0,270.0414845011283,0
1,2025-01-16,47.14846526646416,46.15342422876857,60.13135035593346,7,0,0,684.6325216683906,1
1,2025-01-17,19.493365689338674,46.02844462209041,48.7539257254779,12,1,0,594.7184861270363,0
1,2025-01-18,43.135172173696695,26.53703525349067,74.54919869208258,10,0,2,761.4285508564856,0
1,2025-01-19,47.993968142644874,31.9928076592567,82.3528169102229,5,1,0,743.4141593960221,0
1,2025-01-20,36.74833011991471,26.747176614611416,90.98694784641731,7,0,0,765.0211323028402,0
1,2025-01-21,44.63376129244322,51.191713904047475,86.4412031998898,5,0,0,879.3585965307896,0
1,2025-01-22,43.786735481908956,41.40608237709286,94.18763941373268,10,0,0,607.5920007383992,0
1,2025-01-23,24.291075019388877,52.23708622864778,65.53074429348298,8,1,0,642.8000988184184,0
1,2025-01-24,36.73180925851182,50.77976069593255,52.32285127597734,6,2,0,530.7450211891056,0
1,2025-01-25,44.05121959956559,35.94143441273207,76.08898239741706,15,0,1,551.4414981960214,0
1,2025-01-26,37.32296158176405,47.64271383078482,46.9486925667997,5,0,0,199.8463213585652,0
1,2025-01-27,41.86260190374514,20.809261932155223,60.56136268421133,6,1,0,717.7901193934732,0
1,2025-01-28,35.45571839903814,35.22599478591275,100.0,10,1,0,626.7838044636022,0
1,2025-01-29,40.049872789804574,57.98632791255182,45.994071858884475,6,0,0,433.0997528318103,0
1,2025-01-30,69.79133277828737,69.77026479719235,43.46336467728206,7,5,0,868.7431595503692,1
1,2025-01-31,32.62608038793331,73.08008520708457,69.61115718200904,10,0,0,313.4816686877838,0
1,2025-02-01,30.59955513303016,46.96110865929137,98.82546578132231,10,1,0,212.82756976411213,0
1,2025-02-02,35.69802084990019,39.220296047073596,72.27034690502497,9,0,0,632.4261349042093,0
1,2025-02-03,39.39327140103434,43.3725316715473,60.27134467895279,8,0,1,541.519652257144,0
1,2025-02-04,44.52011093846694,66.78825371193557,77.24027823884941,13,0,1,616.2628268071448,0
1,2025-02-05,17.12328388068218,26.691448435772184,56.61594543637574,9,1,1,732.387463549355,0
1,2025-02-06,41.81952971294964,40.34599865109816,76.48332704976885,17,1,0,473.97138912646307,0
1,2025-02-07,46.581108735000676,56.87494040944404,82.4823963410431,5,0,0,625.669101852856,0
1,2025-02-08,31.90907490803078,57.05719577064388,82.2768268295085,5,1,1,771.5761576199976,0
1,2025-02-09,20.519156585026757,23.888043384351672,55.63111557495128,13,0,1,457.31056965763054,0
1,2025-02-10,34.8148686400761,40.670120416197925,76.45437120676179,12,1,0,334.5538112895354,0
1,2025-02-11,37.24092481810417,45.18888601172692,71.95352197097664,11,0,0,345.3980432289067,0
1,2025-02-12,33.8906806437049,59.64463689721654,40.94301081855278,7,0,0,656.8012821828337,0
1,2025-02-13,38.41755975777159,73.14256258823829,89.008476763721,12,3,0,384.6192688675194,0
1,2025-02-14,46.79440120721287,37.962365218429426,35.73730941818245,14,0,0,770.7744748330826,0
1,2025-02-15,37.59389308999694,49.53522435497464,100.0,7,0,1,562.4916962195895,0
1,2025-02-16,45.604468141104675,68.12056495377274,53.44213842168574,12,1,1,439.22711291381455,0
1,2025-02-17,32.51035851520926,59.57356426431533,82.90751899170294,12,0,0,773.7263115064698,0
1,2025-02-18,17.691268962344328,66.66508187972717,87.72127120492306,8,1,0,472.5844357916294,0
1,2025-02-19,34.852817413650634,56.9460814454449,64.37229786897827,8,0,0,167.06136076099847,0
1,2025-02-20,69.59876842974326,30.90180320508967,59.72266165326613,15,5,0,288.1572956222097,1
1,2025-02-21,53.45536286929607,33.10690751606484,67.85939280090885,7,0,0,292.9515355161252,1
1,2025-02-22,40.145889906905396,63.069526088637375,87.0270852920102,12,0,0,375.9272554928896,0
